               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.069432,            0.056597,            0.020706,             0.51017,             0.64191,             0.51958,             0.19785,            0.071762,            0.051644,            0.023066,           0.0027365,           0.0027365,            0.065837
                  37,            0.065849,            0.055274,            0.020814,             0.50322,             0.54205,             0.45191,             0.15733,            0.084954,            0.048632,            0.023181,           0.0027618,           0.0027618,            0.064862
                  38,            0.073247,            0.057921,             0.02009,             0.55014,             0.77415,             0.66608,             0.22391,            0.073275,            0.048315,            0.022791,           0.0027839,           0.0027839,            0.063884
                  39,            0.060426,            0.064457,            0.021471,             0.47722,             0.78141,             0.59054,             0.28974,            0.071402,             0.04946,            0.022253,           0.0028027,           0.0028027,            0.062903
                  40,            0.075728,             0.05216,            0.020108,             0.51209,             0.81336,             0.68916,             0.30987,            0.085542,            0.045128,            0.021893,           0.0028182,           0.0028182,            0.061918
                  41,            0.077433,            0.071509,             0.01853,             0.45386,             0.86786,             0.72185,              0.3361,            0.071774,            0.048929,            0.021795,           0.0028305,           0.0028305,            0.060931
                  42,            0.070289,            0.061934,            0.020207,              0.7235,             0.73308,             0.79548,             0.39619,            0.069934,            0.047838,            0.021738,           0.0028396,           0.0028396,             0.05994
                  43,            0.066254,            0.056612,            0.018932,             0.55442,              0.7146,             0.68506,             0.29508,            0.063754,            0.049264,            0.021966,           0.0028454,           0.0028454,            0.058945
                  44,            0.061326,            0.048929,            0.020376,             0.54608,             0.72934,             0.65148,             0.24036,            0.059644,            0.049305,            0.021894,           0.0028481,           0.0028481,            0.057948
                  45,            0.052923,             0.05789,            0.018842,             0.32889,             0.64343,             0.35151,             0.12299,            0.081485,            0.048713,             0.02195,           0.0028476,           0.0028476,            0.056948
                  46,            0.075824,             0.05989,            0.018272,             0.21703,             0.58091,             0.26741,            0.087049,            0.076136,              0.0518,            0.021785,            0.002844,            0.002844,            0.055944
                  47,            0.073878,            0.059312,            0.018827,             0.46964,             0.87995,             0.72313,             0.36072,            0.068404,            0.050251,            0.021778,           0.0028374,           0.0028374,            0.054937
                  48,            0.059128,            0.058771,            0.018226,             0.69301,             0.81053,             0.78873,              0.3747,            0.058937,            0.051481,            0.021541,           0.0028277,           0.0028277,            0.053928
                  49,            0.049092,             0.08011,            0.016908,             0.50282,             0.69311,              0.5917,             0.17491,            0.065109,            0.052402,            0.021346,            0.002815,            0.002815,            0.052915
                  50,            0.067543,            0.048088,            0.019957,             0.25243,             0.49557,             0.30146,            0.066184,            0.093087,             0.04456,            0.020878,           0.0027995,           0.0027995,              0.0519
                  51,               0.098,            0.045952,            0.019482,             0.34433,             0.53459,              0.4251,            0.080235,            0.090778,            0.044846,            0.020836,           0.0027811,           0.0027811,            0.050881
                  52,            0.089019,            0.048506,            0.017714,             0.35355,             0.65407,             0.44933,             0.14011,             0.08903,            0.045994,            0.021006,             0.00276,             0.00276,             0.04986
                  53,             0.08393,             0.05233,            0.018428,              0.2897,             0.84099,             0.36013,            0.098923,            0.082936,            0.047396,             0.02102,           0.0027362,           0.0027362,            0.048836
